yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationxoriginal,locationY,locationYoriginal,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,35,1,9,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,3,0,TRUE,FALSE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Tip Dunk Shot,2PT Field Goal,20221207,MIL,SAC,22200369,136,1,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,39,0,TRUE,TRUE
2020,2022-23,1610612749,201588,Shot Chart Detail,George Hill,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,322,2,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,3,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,324,2,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,3,0,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,601,4,4,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,2,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Putback Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,615,4,3,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,22,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Putback Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,622,4,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,54,0,TRUE,TRUE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221209,DAL,MIL,22200386,65,1,7,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,19,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221209,DAL,MIL,22200386,134,1,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,0,0,TRUE,TRUE
2020,2022-23,1610612749,1626192,Shot Chart Detail,Pat Connaughton,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221209,DAL,MIL,22200386,151,2,10,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,50,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221211,HOU,MIL,22200401,440,3,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,53,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Putback Layup Shot,2PT Field Goal,20221213,MIL,GSW,22200410,131,1,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,30,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221213,MIL,GSW,22200410,200,2,8,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,46,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221213,MIL,GSW,22200410,324,2,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,13,0,TRUE,TRUE
2020,2022-23,1610612749,1630699,Shot Chart Detail,MarJon Beauchamp,Milwaukee Bucks,Missed Shot,Putback Layup Shot,2PT Field Goal,20221213,MIL,GSW,22200410,679,4,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,56,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Layup Shot,2PT Field Goal,20221215,MEM,MIL,22200425,128,1,4,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,23,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221215,MEM,MIL,22200425,343,2,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,54,0,TRUE,TRUE
2020,2022-23,1610612749,203648,Shot Chart Detail,Thanasis Antetokounmpo,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221215,MEM,MIL,22200425,581,4,9,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,9,0,TRUE,TRUE
2020,2022-23,1610612749,1630699,Shot Chart Detail,MarJon Beauchamp,Milwaukee Bucks,Made Shot,Driving Layup Shot,2PT Field Goal,20221215,MEM,MIL,22200425,681,4,1,Restricted Area,Center,C,Less Than 8 ft.,17,-17,0,0,27,1,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221217,MIL,UTA,22200442,114,1,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,51,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20221217,MIL,UTA,22200442,121,1,1,Left Corner 3,Left Side,L,24+ ft.,234,-234,0,0,11,23,TRUE,TRUE
